member_number,db_id,source_member_id,household_id,full_name,tier,relationship,seniority_level,job_title,organisation_unit,physical_address,region,district,nwsc_area,town_or_ward,onboarded_via
NWSC-2026-00339,nwa5ffc3398a62bcc84a81,NWSC-MEM-000088,NWSC-HH-000088,Irene Nakimuli,Management,Principal,Area/Branch Manager,District Operations Manager,Finance & Corporate Strategy,"Plot 704, Spring Road, Kyaliwajjala, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kyaliwajjala,DB
NWSC-2026-00340,nwb80d574a0a07be4b1d4b,NWSC-MEM-000089,NWSC-HH-000089,Susan Walusimbi,Officer,Principal,Professional/Officer,Finance Officer,Commercial & Customer Services,"Plot 135, High Street, Masulita, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Masulita,DB
NWSC-2026-00341,nw9eba75529f872ab735b0,NWSC-MEM-000090,NWSC-HH-000090,Joan Nantongo,Staff,Principal,Field/Operations,Meter Reader,Kampala Water,"Plot 910, Industrial Lane, Namusera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Namusera,DB
NWSC-2026-00342,nw20d5c9f8a0424328952c,NWSC-MEM-000091,NWSC-HH-000091,Esther Mutebi,Management,Principal,Area/Branch Manager,Branch Manager,Kampala Water,"Plot 586, Hill Road, Kira, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kira,DB
NWSC-2026-00343,nw3fd8cc77daac3f9c6e69,NWSC-MEM-000092,NWSC-HH-000092,Daniel Akena,Staff,Principal,Support/Admin,Records Clerk,Kampala Water,"Plot 568, Lake View Road, Goma, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Goma,DB
NWSC-2026-00344,nwa5d46c4df5cbd8b2fea6,NWSC-MEM-000093,NWSC-HH-000093,Peace Ouma,Staff,Principal,Field/Operations,Plant Operator,Regional Operations,"Plot 875, Spring Road, Namusera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Namusera,DB
NWSC-2026-00345,nwe11e68a972ac3ed1a9b2,NWSC-MEM-000094,NWSC-HH-000094,Emmanuel Walusimbi,Staff,Principal,Field/Operations,Plant Operator,Kampala Water,"Plot 191, Reservoir Road, Kololo, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Kololo,DB
NWSC-2026-00346,nw66cbc7324db8215edcc5,NWSC-MEM-000095,NWSC-HH-000095,Florence Nsubuga,Staff,Principal,Support/Admin,Driver,Commercial & Customer Services,"Plot 19, Hill Road, Bweyogerere, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Bweyogerere,DB
NWSC-2026-00347,nw9cb3b678568afb92b71d,NWSC-MEM-000096,NWSC-HH-000096,Achen Anywar,Staff,Principal,Support/Admin,Administrative Assistant,Finance & Corporate Strategy,"Plot 743, Industrial Lane, Mukono Central, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Mukono Central,DB
NWSC-2026-00348,nwe5da7baffe652d3d25cb,NWSC-MEM-000097,NWSC-HH-000097,Catherine Ouma,Officer,Principal,Professional/Officer,Human Resource Officer,Kampala Water,"Plot 262, School Lane, Namusera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Namusera,DB
NWSC-2026-00349,nwe90ca1cd451dd954c6a6,NWSC-MEM-000098,NWSC-HH-000098,Brenda Alupo,Management,Principal,Area/Branch Manager,Area Manager,Human Resource,"Plot 715, High Street, Najjeera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Najjeera,DB
NWSC-2026-00350,nw4c8a555d9e532b96f99c,NWSC-MEM-000099,NWSC-HH-000099,Violet Kato,Staff,Principal,Field/Operations,Leakage Technician,Kampala Water,"Plot 579, Mission Road, Busiro, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Busiro,DB
NWSC-2026-00351,nwe9bd5246e96234bf4d69,NWSC-MEM-000100,NWSC-HH-000100,Wasswa Okot,Staff,Principal,Field/Operations,Network Technician,Commercial & Customer Services,"Plot 244, Main Street, Kira, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kira,DB
NWSC-2026-00352,nw0493d7c2bfab047adc8a,NWSC-MEM-000101,NWSC-HH-000101,Grace Nalubega,Officer,Principal,Supervisor/Specialist,Network Supervisor,Procurement & Stores,"Plot 603, Commercial Street, Nansana, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Nansana,DB
NWSC-2026-00353,nw5695d6e847458fdc52e2,NWSC-MEM-000102,NWSC-HH-000102,Achen Opio,Officer,Principal,Supervisor/Specialist,Water Quality Specialist,Public Relations & Corporate Communications,"Plot 740, Council Road, Buloba, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Buloba,DB
NWSC-2026-00354,nwa207bea8ef823c464c85,NWSC-MEM-000103,NWSC-HH-000103,Joshua Senyonga,Officer,Principal,Professional/Officer,Finance Officer,Procurement & Stores,"Plot 906, Water Works Road, Mukono Central, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Mukono Central,DB
NWSC-2026-00355,nwf93767af2a14b37ea3cb,NWSC-MEM-000104,NWSC-HH-000104,Ritah Kyomuhendo,Officer,Principal,Professional/Officer,Procurement Officer,Planning & Capital Development,"Plot 974, Hill Road, Kawempe, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Kawempe,DB
NWSC-2026-00356,nw015acf4f5038717729d9,NWSC-MEM-000105,NWSC-HH-000105,John Nantongo,Officer,Principal,Supervisor/Specialist,Network Supervisor,Finance & Corporate Strategy,"Plot 803, Mission Road, Nakawa, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Nakawa,DB
NWSC-2026-00357,nw6b6f004bc2d29052dcdd,NWSC-MEM-000106,NWSC-HH-000106,Stephen Nalubega,Staff,Principal,Field/Operations,Pump Attendant,Water Quality,"Plot 931, Church Road, Kyaliwajjala, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kyaliwajjala,DB
NWSC-2026-00358,nw058187c98e712b57339e,NWSC-MEM-000107,NWSC-HH-000107,Stephen Kahuma,Staff,Principal,Field/Operations,Pump Attendant,Water Quality,"Plot 782, Spring Road, Nakawa, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Nakawa,DB
NWSC-2026-00359,nw4d9a139ee0a0d75795a7,NWSC-MEM-000108,NWSC-HH-000108,Judith Nansubuga,Officer,Principal,Professional/Officer,Finance Officer,Legal Services,"Plot 840, Market Street, Seeta, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Seeta,DB
NWSC-2026-00360,nwce10a045acfbd29b3d5e,NWSC-MEM-000109,NWSC-HH-000109,Geoffrey Okot,Staff,Principal,Field/Operations,Plant Operator,Finance & Corporate Strategy,"Plot 637, Hill Road, Kawanda, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Kawanda,DB
NWSC-2026-00361,nwfcab5c58bbac9c69300d,NWSC-MEM-000110,NWSC-HH-000110,Mary Mirembe,Officer,Principal,Supervisor/Specialist,Billing Supervisor,Planning & Capital Development,"Plot 110, Spring Road, Nansana, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Nansana,DB
NWSC-2026-00362,nw0759558180f30f1d40a5,NWSC-MEM-000111,NWSC-HH-000111,Margaret Bukenya,Staff,Principal,Support/Admin,Customer Care Assistant,Public Relations & Corporate Communications,"Plot 761, Water Works Road, Mukono Central, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Mukono Central,DB
NWSC-2026-00363,nwda77e23f39fe0333ce42,NWSC-MEM-000112,NWSC-HH-000112,Brenda Kizza,Officer,Principal,Supervisor/Specialist,Network Supervisor,Commercial & Customer Services,"Plot 544, Reservoir Road, Masulita, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Masulita,DB
NWSC-2026-00364,nw4293bd718b70bc09ece5,NWSC-MEM-000113,NWSC-HH-000113,Opio Kahuma,Staff,Principal,Field/Operations,Meter Reader,Information & Business Solutions,"Plot 691, Lake View Road, Goma, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Goma,DB
NWSC-2026-00365,nwfd58505d601410d46c9b,NWSC-MEM-000114,NWSC-HH-000114,Mary Lwanga,Staff,Principal,Field/Operations,Meter Reader,Kampala Water,"Plot 744, School Lane, Masulita, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Masulita,DB
NWSC-2026-00366,nw9b6feada713da0d176b5,NWSC-MEM-000115,NWSC-HH-000115,Charles Nansubuga,Officer,Principal,Supervisor/Specialist,Billing Supervisor,Kampala Water,"Plot 683, Spring Road, Seeta, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Seeta,DB
NWSC-2026-00367,nwd98dd762ecc0e68f3182,NWSC-MEM-000116,NWSC-HH-000116,Simon Ntale,Executive,Principal,Executive Leadership,Corporate Strategy Lead,Internal Audit,"Plot 655, Station Road, Goma, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Goma,DB
NWSC-2026-00368,nw0ab5883d86603fe92581,NWSC-MEM-000117,NWSC-HH-000117,Daniel Kakooza,Staff,Principal,Field/Operations,Meter Reader,Procurement & Stores,"Plot 473, Lake View Road, Bweyogerere, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Bweyogerere,DB
NWSC-2026-00369,nw450d7f843a0b4bd69098,NWSC-MEM-000118,NWSC-HH-000118,Achen Baluku,Officer,Principal,Supervisor/Specialist,Network Supervisor,Regional Operations,"Plot 10, Civic Road, Buloba, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Buloba,DB
NWSC-2026-00370,nw144a2a44f42e3242886b,NWSC-MEM-000119,NWSC-HH-000119,Ritah Mutebi,Officer,Principal,Supervisor/Specialist,Billing Supervisor,Water Quality,"Plot 697, Church Road, Namanve, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Namanve,DB
NWSC-2026-00371,nwc4f5b0e0df58fd065f22,NWSC-MEM-000120,NWSC-HH-000120,Isaac Namutebi,Staff,Principal,Support/Admin,Records Clerk,Water Quality,"Plot 85, Lake View Road, Rubaga, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Rubaga,DB
NWSC-2026-00372,nw6a2df620708236caabe9,NWSC-MEM-000121,NWSC-HH-000121,Paul Walusimbi,Officer,Principal,Professional/Officer,Human Resource Officer,Kampala Water,"Plot 854, Old Kampala Road, Nansana, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Nansana,DB
NWSC-2026-00373,nw775454a559952b65b854,NWSC-MEM-000122,NWSC-HH-000122,Irene Wamala,Staff,Principal,Field/Operations,Meter Reader,Kampala Water,"Plot 47, Civic Road, Goma, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Goma,DB
NWSC-2026-00374,nw28380428cce2ced12979,NWSC-MEM-000123,NWSC-HH-000123,Angela Baluku,Officer,Principal,Professional/Officer,IT Officer,Information & Business Solutions,"Plot 982, Spring Road, Nakawa, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Nakawa,DB
NWSC-2026-00375,nwc723c30ec4dd082393a8,NWSC-MEM-000124,NWSC-HH-000124,Jackie Waiswa,Officer,Principal,Supervisor/Specialist,Network Supervisor,Kampala Water,"Plot 834, High Street, Goma, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Goma,DB
NWSC-2026-00376,nw35c77dff36ed26fc1691,NWSC-MEM-000125,NWSC-HH-000125,Mary Olanya,Staff,Principal,Support/Admin,Stores Assistant,Kampala Water,"Plot 35, Civic Road, Kakiri Road, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Kakiri Road,DB
NWSC-2026-00377,nwe8ccf9621041fc2aae3f,NWSC-MEM-000126,NWSC-HH-000126,Collins Agaba,Staff,Principal,Field/Operations,Network Technician,Kampala Water,"Plot 380, Church Road, Namusera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Namusera,DB
NWSC-2026-00378,nw8d0c12ddb960be682d31,NWSC-MEM-000127,NWSC-HH-000127,Ruth Lwanga,Staff,Principal,Support/Admin,Administrative Assistant,Kampala Water,"Plot 293, Main Street, Kakiri, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Kakiri,DB
NWSC-2026-00379,nwb0131c0fd61d9d0a7d89,NWSC-MEM-000128,NWSC-HH-000128,Abdul Mukasa,Management,Principal,Area/Branch Manager,District Operations Manager,Public Relations & Corporate Communications,"Plot 33, Lake View Road, Kololo, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Kololo,DB
NWSC-2026-00380,nw2cc3786799dd32cd85b7,NWSC-MEM-000129,NWSC-HH-000129,Linda Anywar,Officer,Principal,Professional/Officer,Finance Officer,Kampala Water,"Plot 537, Council Road, Busiro, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Busiro,DB
NWSC-2026-00381,nw41f26ce46409c9e88bca,NWSC-MEM-000130,NWSC-HH-000130,Patricia Mukasa,Staff,Principal,Support/Admin,Records Clerk,Kampala Water,"Plot 563, Lake View Road, Najjeera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Najjeera,DB
NWSC-2026-00382,nw766c65d3c177dad2610c,NWSC-MEM-000131,NWSC-HH-000131,Richard Ouma,Officer,Principal,Professional/Officer,Civil Engineer,Kampala Water,"Plot 346, Church Road, Namanve, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Namanve,DB
NWSC-2026-00383,nw803b9279d8206d4b4da7,NWSC-MEM-000132,NWSC-HH-000132,Isaac Anywar,Staff,Principal,Support/Admin,Records Clerk,Water Quality,"Plot 289, Industrial Lane, Seeta, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Seeta,DB
NWSC-2026-00384,nw9598ed0317100a537619,NWSC-MEM-000133,NWSC-HH-000133,Rose Bamwesigye,Officer,Principal,Professional/Officer,Human Resource Officer,Finance & Corporate Strategy,"Plot 108, Market Street, Buloba, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Buloba,DB
NWSC-2026-00385,nw7f87804efaa94982fbc2,NWSC-MEM-000134,NWSC-HH-000134,Kato Byaruhanga,Officer,Principal,Professional/Officer,Civil Engineer,Procurement & Stores,"Plot 352, Industrial Lane, Kira, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kira,DB
NWSC-2026-00386,nw10edcec24cb4c94becee,NWSC-MEM-000135,NWSC-HH-000135,Allan Biryomumaisho,Staff,Principal,Support/Admin,Records Clerk,Kampala Water,"Plot 190, Market Street, Seeta, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Seeta,DB
NWSC-2026-00387,nw2c51453f152ab942c7fa,NWSC-MEM-000136,NWSC-HH-000136,Ben Kyomuhendo,Staff,Principal,Field/Operations,Plant Operator,Legal Services,"Plot 896, Hill Road, Namayumba, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Namayumba,DB
NWSC-2026-00388,nw9d5d4cf2d6cac225ca0f,NWSC-MEM-000137,NWSC-HH-000137,Sylvia Otieno,Staff,Principal,Field/Operations,Plant Operator,Kampala Water,"Plot 732, Reservoir Road, Bugolobi, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Bugolobi,DB
NWSC-2026-00389,nwd38b4791b2758bf7bd31,NWSC-MEM-000138,NWSC-HH-000138,Ocen Waiswa,Staff,Principal,Support/Admin,Stores Assistant,Technical Services,"Plot 936, Civic Road, Seeta, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Seeta,DB
NWSC-2026-00390,nwbcb216ec84e5e6b5d2df,NWSC-MEM-000139,NWSC-HH-000139,Samuel Walusimbi,Officer,Principal,Supervisor/Specialist,Network Supervisor,Internal Audit,"Plot 470, Lake View Road, Namayumba, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Namayumba,DB
NWSC-2026-00391,nwf7261039aa99eadb1df8,NWSC-MEM-000140,NWSC-HH-000140,Sarah Wamala,Officer,Principal,Professional/Officer,Procurement Officer,Kampala Water,"Plot 137, Industrial Lane, Nansana, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Nansana,DB
NWSC-2026-00392,nw59a4c265ec5b9f6cf0e9,NWSC-MEM-000141,NWSC-HH-000141,Susan Alupo,Staff,Principal,Support/Admin,Customer Care Assistant,Kampala Water,"Plot 995, Reservoir Road, Nakasero, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Nakasero,DB
NWSC-2026-00393,nw9698a35621ff9c788d3e,NWSC-MEM-000142,NWSC-HH-000142,Joseph Auma,Officer,Principal,Professional/Officer,Commercial Officer,Commercial & Customer Services,"Plot 40, Main Street, Busiro, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Busiro,DB
NWSC-2026-00394,nw1d15688f2ce22aafcc99,NWSC-MEM-000143,NWSC-HH-000143,David Wabwire,Staff,Principal,Field/Operations,Field Assistant,Commercial & Customer Services,"Plot 367, Station Road, Rubaga, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Rubaga,DB
NWSC-2026-00395,nw3530ee1f1d6a94ae6895,NWSC-MEM-000144,NWSC-HH-000144,Charles Wamala,Officer,Principal,Professional/Officer,Finance Officer,Kampala Water,"Plot 496, Hospital Road, Kira, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kira,DB
NWSC-2026-00396,nw1fd82109f7ac14d8e253,NWSC-MEM-000145,NWSC-HH-000145,Julius Ouma,Officer,Principal,Professional/Officer,Commercial Officer,Kampala Water,"Plot 874, Civic Road, Ntinda, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Ntinda,DB
NWSC-2026-00397,nwebee65e89b9cfd52d378,NWSC-MEM-000146,NWSC-HH-000146,Mary Nantongo,Officer,Principal,Professional/Officer,Procurement Officer,Legal Services,"Plot 86, Water Works Road, Seeta, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Seeta,DB
NWSC-2026-00398,nw933428af6fa396172f5a,NWSC-MEM-000147,NWSC-HH-000147,Timothy Nantongo,Officer,Principal,Professional/Officer,Civil Engineer,Legal Services,"Plot 856, Market Street, Makindye, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Makindye,DB
NWSC-2026-00399,nwe64ec0f3420f872d9613,NWSC-MEM-000148,NWSC-HH-000148,Julius Kyomuhendo,Officer,Principal,Supervisor/Specialist,Network Supervisor,Planning & Capital Development,"Plot 559, Station Road, Namanve, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Namanve,DB
NWSC-2026-00400,nw9f53ce74a685dd7e7513,NWSC-MEM-000149,NWSC-HH-000149,Godfrey Anywar,Staff,Principal,Field/Operations,Leakage Technician,Internal Audit,"Plot 666, School Lane, Namayumba, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Namayumba,DB
NWSC-2026-00401,nw07e4c3b215d95cebbd41,NWSC-MEM-000150,NWSC-HH-000150,Sarah Ntale,Staff,Principal,Field/Operations,Network Technician,Water Quality,"Plot 651, Commercial Street, Mukono Central, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Mukono Central,DB
NWSC-2026-00402,nw8abaeb74f3b03e774d6e,NWSC-MEM-000151,NWSC-HH-000151,Aisha Walusimbi,Officer,Principal,Professional/Officer,Procurement Officer,Human Resource,"Plot 793, Hill Road, Najjeera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Najjeera,DB
NWSC-2026-00403,nwc9b5c6d1eaebcd55a952,NWSC-MEM-000152,NWSC-HH-000152,Ritah Nabirye,Officer,Principal,Professional/Officer,Civil Engineer,Kampala Water,"Plot 379, Civic Road, Namusera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Namusera,DB
NWSC-2026-00404,nw0eb65d2f718d52edc168,NWSC-MEM-000153,NWSC-HH-000153,Irene Obote,Staff,Principal,Field/Operations,Network Technician,Water Quality,"Plot 519, Spring Road, Namanve, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Namanve,DB
NWSC-2026-00405,nwd972a41cc43b3ece1dfd,NWSC-MEM-000154,NWSC-HH-000154,Simon Bukenya,Officer,Principal,Professional/Officer,Human Resource Officer,Regional Operations,"Plot 659, Council Road, Kakiri Road, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Kakiri Road,DB
NWSC-2026-00406,nwd8b7801c74c44d8973cc,NWSC-MEM-000155,NWSC-HH-000155,Timothy Byaruhanga,Executive,Principal,Senior Director/Director,Director of Customer Services,Technical Services,"Plot 619, Station Road, Nabweru, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Nabweru,DB
NWSC-2026-00407,nw453e0e4c6edd8271d678,NWSC-MEM-000156,NWSC-HH-000156,Sarah Nantongo,Officer,Principal,Professional/Officer,IT Officer,Legal Services,"Plot 434, Industrial Lane, Kazo, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Kazo,DB
NWSC-2026-00408,nwe9621671a0b8d8e562f5,NWSC-MEM-000157,NWSC-HH-000157,Judith Ouma,Management,Principal,Regional/General Manager,General Manager,Public Relations & Corporate Communications,"Plot 553, Market Street, Bugolobi, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Bugolobi,DB
NWSC-2026-00409,nwd9f44d07c41cd4b5ca8a,NWSC-MEM-000158,NWSC-HH-000158,Immaculate Lwanga,Officer,Principal,Professional/Officer,Human Resource Officer,Human Resource,"Plot 875, Station Road, Kakiri Road, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Kakiri Road,DB
NWSC-2026-00410,nw35a139c5e98ca8671262,NWSC-MEM-000159,NWSC-HH-000159,Kato Mirembe,Staff,Principal,Field/Operations,Field Assistant,Kampala Water,"Plot 263, Church Road, Seeta, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Seeta,DB
